"Sub","Japanese Title","English Title","Japanese Location","English Location","Japanese Period","English Period","Japanese Reward","English Reward","Japanese Main Text","English Main Text","Japanese Image Text","English Image Text","Comments","Excel Table","Missable","Multipart","New Game+"
"011","飛行竜船員の家族","Draconis Crewman's Family 1","首都ダリルシェイド(→P190)","Darilsheid"," No.09 ヒューゴの依頼受諾~No.37 第一部終了","No.09 Taking Hugo’s Request ~ No.37 End of part 1","-","-","上記の発生期間中に、 ダリルシェイドの宿屋の裏手  にある2階建ての民家に入ると発生する。 飛行竜ごっ  こをしている子供を母親がたしなめている場面に遭遇  するスタンたち。 その母親から、 飛行竜船員である夫  がまだ帰ってこないと聞かされる。 ルーティは飛行竜  が墜落した事実を告げようとするが、 リオンがそれを  制止する。 夫の身を案ずる母親にリオンは墜落した事  実を最後まで口にせず立ち去る。","This event is available during the above period and occurs when you enter the two-story home behind the Darilsheid inn. Stahn and the party will encounter a mother scolding her child as he pretends to be a member of the Draconis' crew. The woman shares with the party that her husband, who serves upon the Draconis, has yet to return. When Rutee attempts to tell the woman the fate of the Draconis, Leon intervenes. Leon expresses concern for her husband's safety, but leaves without telling her about the crash. ","連続イベントではないが、  話は『飛行竜船員の帰還」  (→P349) へつながる。","▲ You can get the conclusion to this event in ""Draconis Crewman's Family 2"" [Side-Quest #124](projects/destiny-dc/stahn-guide?id=side-quest-124-draconis-crewman39s-family-2). ","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"012","漆黒の翼①","Dark Wings 1","アルメイダの村 ( →P194)","Armeida"," No.10 アルメイダの村到着~No.12 ストレイライズ神殿クリア","No.10 Arriving in Armeida ~ No.12 Straylize Temple Cleared","-","-","ジェノスの街で出会った自称レンズハンターの3人  組、 「漆黒の翼」が再びスタンたちの前に登場する。 最  初のサブイベントとなる「漆黒の翼1』 は、 アルメイダの  村の一番奥にある広場を訪れると発生。 彼らのサブイ  ベントは全部で8つあるが、 いずれも期間中に特定の  場所を訪れれば発生するため、 各イベントを必ず見る  必要はない。特に入手できる称号やアイテムはないが、  彼らの愉快な珍道中は最後まで見る価値ありだ。","The Dark Wings, whom you met in Janos, appear before Stahn and others once again in this Side-Quest. You trigger this event by visiting the plaza at the far side of Armeida. While this is the first of eight Side-Quests, there is no specific order in which to view the events staring these three ""lens hunters."" No items or titles are obtained either, but their antics are worth seeing through to the very end. ","お騒がせトリオと再会。  ジェノスとは違い、今度は  伝説の勇者を気取っている。","▲ This time they're pretending to be legendary heroes.","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"013","夫婦喧嘩","Lovers' Quarrels","アルメイダの村 (→P194)","Armeida"," No.10 アルメイダの村到着~No.44 オベロン秘密工場クリア","No.10 Arriving in Armeida ~ No.44 Oberon Secret Factory clear","フードストラップ 「チャーハン」","Food strap [Fried Rice](projects/destiny-dc/items/food-strap?id=food-strap-fried-rice)","アルメイダの食材屋に行くと、 夫が仕入れをサボっ ているせいで食材の入荷が遅れていると言われる。 夫婦喧嘩が収まらない限り食材の補充はできそうにな いが、マリーのアドバイスで事態は収拾する。","Upon entering the grocery store in Armeida, Mary is informed that due to the laziness of the store owner's husband, the available ingredients leave much to be desired. Mary tries to offer advice to help them get the situation under control, but only time will tell if this will assist in replenishing the grocers shelves.","会話後、いったん村の外  へ出て再度食材屋を訪ねる  と、無料で補充してくれる。","▲ After the first conversation, go out of the shop and re enter to trigger the second part.","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"014","命の恩人","Life Saver","アルメイダの村 (→P194)","Armeida","No.12 ストレイライズ神殿到着~No.14 港町チェリク到着前","No.12 Arrival at Straylize Temple ~ No.14 Before arriving in Cherik","道具「ライフボトル」 ×2","Item [Life Bottle](projects/destiny-dc/items/item?id=item-life-bottle) x2","期間中にアルメイダの奥にある広場を訪れると、 交  易商の近くに七将軍のルウェインが立っている。 彼に  話しかけることでイベントが発生し、 スタンの祖父ト  ーマスとルウェインの意外な絆を知ることができる。","Visiting the plaza in Armedia during this you will encounter one the Seven Generals, General Lewein. Speaking to him will trigger an event where you learn about an unexpected connection between Stahn's grandfather, Thomas Aileron, and the General Lewein. ","期間が非常に短いので、  ストレイライズ神殿をクリア  し戻る途中に立ち寄ろう。","▲ The period to do this sidequest is really short so make sure to stop after clearing the Straylize Temple","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"015","フィリア初めてのジャンクランド","Philia's First Time in Junkland","ジャンクランド(→P302)","Junkland","No.15 バルックオフィス到着~No.54 イレーヌ撃破","No.15 Arrival at Baruk's Office ~ No.54 Fight against Ilene","-","-","ジャンクランドは、 シナリオを進めるだけなら物語  終盤まで行く必要はない。 しかし、このサブイベント  を見るとなると話は別で、 早いタイミングで訪れる必  要がある。 発生場所はジャンクランドの武具屋の近く。  ここでフィリアは悪臭が漂う街の環境に適応できず、  体調を崩してしまう。ただし、体調が悪くなるといって  もステータスに悪影響を及ぼすことはない。","Junkland doesn't need to be visited until towards the end of the story in case you just want to advance the main plot. However, to view this Side-Quest, you need to visit Junkland very early in the story. Near the armorer in Junkland, Philia is unable to handle the powerful stench in the air and falls ill. Do not fret - this event has no bearing on her actual status in game.","イベントを見る最適な時  期は、チェリクの港からノイ  シュタットへ向かう直前。","▲ The best time to trigger this event is to go directly after leaving Cherik and before entering Calviola.","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"016","ああ、僕の憧れ漆黒の翼①","Yearning to Join the Dark Wings 1","首都カルビオラ (→P208)","Calviola","No.16 首都カルビオラ到着~No.19 ノイシュタット到着前","No.16 Arriving in Calviola ~ No.19 Before arriving at Neustadt","-","-","カルビオラに入ってすぐ、右手に見える大きな水たま  りの近くにいる少年に話しかけると発生。 漆黒の翼に  会うため、 家出を決意した少年トッシューの話が展開。  続きとなる『ああ、僕の憧れ漆黒の翼2』 (→P340)は、  このイベントをクリアしなければ発生しない。","To trigger this event, speak with a young boy with green hair near a large pool of water to the right of the entrance of Calviola. You will start the story of a boy named Toshu who has run away from home in order to join the Black Wings. The continuation of this story does not occur until this event is cleared. ","漆黒の翼の正体を知らな いトッシュー。 その後は、2回  目のイベントで明らかに。","▲ Toshu doesn't suspect the Dark Wings real identity. The second event will reveal what happened after that [Side-Quest #075](projects/destiny-dc/stahn-guide?id=Side-Quest-075-Yearning-to-join-the-Dark-Wings-2).","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"017","カルビオラのエレナ①","Calviola's Elena 1","首都カルビオラ (→P208)","Calviola"," No.16 首都カルビオラ到着~No.19 ノイシュタット到着前","No.16 Arriving in Calviola ~ No.19 Before arriving at Neustadt","-","-","カルビオラのオベロン社の左手にある民家を訪れ  てエレナに話しかけると発生。 カルバレイス人とセイ  ンガルド人のハーフとして悩む彼女から、父を探して  くれと頼まれる。 このサブイベントをクリアしなけれ  ば『カルビオラのエレナ2」(→P340) は発生しない。","This event occurs when speaking with Elena, who is in a house to the left of the Oberon Corporation building in Calviola. She asks the party to assist her in finding her father, who is half Calviolan and half Seinegaldian. If you do not complete (trigger?) this Side-Quest, the second part, [Calviola's Elena 2](projects/destiny-dc/stahn-guide?id=side-quest-076-calviola39s-elena-2), will NOT occur. "," 「カゴの中の鳥?」 (→  P341) 発生にはこの連続  イベントのクリアが必須だ。","▲ Completing this event is nessesary to trigger the ""Bird in a Cage?"" [Side-Quest #077](projects/destiny-dc/stahn-guide?id=Side-Quest-077-Bird-in-a-Cage?).","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"018","スリ事件","The Pickpocket Incident","首都カルビオラ ( →P208)","Calviola"," No.18 カルビオラ神殿クリア~No.19 ノイシュタット到着前","No.18 Calviola Temple Cleared ~ No.19 Before arriving at Neustadt","-","-","レンズを1枚以上持った状態で、 カルビオラの北側  からフィールドに出ようとすると発生。 少年がスタンた  ちの間を駆け抜けていくが、 即座にレンズのスリだと  気づいたルーティが詰め寄る。 少年との押し問答の末、  結局は逃げられてしまうがレンズは減らない。","This event occurs if you try to leave Calviola through the northern exit with some lens on you. A boy bumps into Stahn and the others. Rutee immediately recognizes him as a lens pickpocket and presses him for answers. After a heated exchange, the boy eventually runs off with your some of your lens.(Quantity wasnt checked for how much he steals but it's not a lot probably)","一行は、 その場にいた人  の話で少年がジャンクラン  ドの子供であることを知る。","▲ The party learns from a bystander that the kid is from Junkland","Unclear if you actually lose lens or not. Would need to see if your lens depletes in game","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"019","漆黒の翼②","Dark Wings 2","港町チェリク (→P206)","Cherik"," No.18 カルビオラ神殿クリア~No.19 ノイシュタット到着前","No.18 Calviola Temple Cleared ~ No.19 Before arriving at Neustadt","-","-","期間中にチェリクのバルック基金本部がある広場を  訪れると漆黒の翼が立っている。 彼らに近寄るとイベ  ントが発生。 相変わらず勇者と称し、 街の人々に話し  かける漆黒の翼だったが、 まったく反応がないことに  憤慨する。 なんとか自分たちに人々の関心を向けさ  せようと手を尽くすが、 結局は相手にしてもらえない。","Visit the square close to where the Baruk Foundation is located in Cherik to encounter the Black Wings. Approaching them causes an event to occur where they claim they are heros to the people of the city. However, they are ignored and are offered no fanfare. No matter what they try, they cannot grab the attention of anyone and are not taken seriously. ","","▲ IMPORTANT this event won't appear if you trigger the cherik port scene before going there, it's really easy to miss!","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"020","姉弟①","Sibling 1","ノイシュタットの街(→P213)","Neustadt"," No.20 ノイシュタット到着~No.20 イレーヌ邸到着前","No.20 Arriving in Neustadt ~ No.20 Before entering Ilene's house","-","-","期間中にノイシュタットの装飾屋とオベロン社に架  かる橋にいる女の子と話すと発生する。 血のつながっ  ていない弟についてどう接していいかと悩む少女。 ル  ーティは静かに自分の意見をぶつけるが、 ルーティの  言うことがわからず少女は去っていく。 次のイベント  となる『姉弟2」 (→P332) を発生させるにはこのイベ  ントをクリアする必要があり、 発生期間も非常に短い。  ノイシュタットを訪れた時点でクリアしておこう。","Talking to the girl on the bridge connected to the Oberon Lens shop in Neustadt. She is worried about how she treated her step brother. Rutee shares her opinion that they are still siblings, even if they aren't related by blood.  The girl doesn't understand what Rutee says and leaves. You must complete this even before the next event, [Sibling 2], can occur. You have a very short window to complete these, so you should do both of them when you first visit Neustadt. ","ルーティは、思い悩む彼  女に自分の素直な思いを聞  かせるのだった","▲ Rutee asks the troubled girl for her honest thoughts and feelings.","the girl is bothered about he siblings from another mother or something, Rutee is like familly is familly no mather what

Astro - Unsure which shop this occurs next to, 

pegi: oberon lens shop","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"021","覚悟のまなざし","Gaze of Resolve","ノイシュタットの街(→P213)","Neustadt"," No.20 ノイシュタット到着~","No.20 Arriving in Neustadt","フィリア称号「覚悟のまなざし」","Philia's title [Gaze of Resolve]","ノイシュタットの噴水がある広場の階段を降り、道 具屋の前にいるおばちゃんに話しかけるとイベントが 発生。 このあとの選択肢では「私が･･････何か?」を選 ぼう。 ひと目でフィリアをストレイライズの神官だと見 抜いたおばちゃんとの会話がくり広げられる。 フィリ アに対し、 強い意志を持った目をしていると語るおば ちゃん。 ここでもらえる称号は、 第二部の「乙女のまな ざし」(→P335) 発生の条件となってい","This event occurs when you speak with the woman who is standing in front of the Neustadt item shop. When presented with a choice, select ""Is this about...me?"".  From here a conversation with this woman ensues, where Philia is recognized as a Straylize Priestess. The woman comments on Philia's gaze. The title you receive here is necessary for the next part of this event series [Maiden's Gaze].","|Rank|Time|Reward|
|-----|-----|-----|
|Rank 1| 3 minutes or less|[Blast Material]|
|Rank 2| 5 minutes or less|[Clear Lens] x50|
|Rank 3| 5 minutes or more|[Rough Lens] x 100|","▲ The title you receive here is necessary for the next part of this event series ""Maiden's Gaze [Side-Quest #046](projects/destiny-dc/stahn-guide?id=side-quest-046-maidens-gaze)"" ","Philia goes to the lowerquarter and a woman see she's has a special gaze","","","",""
"022","スウィートボーイ","Sweet Boy","ノイシュタットの街(→P213)","Neustadt"," No.20 ノイシュタット到着~No.22 シデン領到着前","No.20 Arriving in Neustadt ~ No.22 Arriving in Shiden Territory","リオン称号「スウィートボーイ","Leon's title [Sweet Boy]","ノイシュタットのアイスキャンディー屋手前のベンチ  に座っている少年と会話すると発生。 選択肢の正解は  「子供に用はない」だ。 内容は嫌いな食べ物はあるか  と聞く少年にリオンが答えるというもの。 リオンがパ  ーティにいなければ発生しない点に注意しよう。","This event occurs when you speak with a young boy sitting on a bench in front of the Softy Kreem stand in Neustadt. During the conversation, select ""I have no business with children."" Leon will provide an answer to the child's question about food he doesn't like. In order for this event to occur, you must have Leon in your party. ","甘いものが好きというリオンの隠れた嗜好を、少年に見抜かれてしまう。","▲ The boy discovers Leon's hidden taste for sweets.","Leon is like no i dont like sweet even tho he was looking at the icecream shop. and he double down on it and tell the kid to fuck off/////Leon secretly likes sweets, you can see that if you read Marian's diary later in the game. He just doesn't like other people knowing most probably because Hugo forced Leon into adulthood early.                   ","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"023","迷子の親探し","Lost Child","ノイシュタットの街(→P213)","Neustadt"," No.20 ノイシュタット到着~No.20 イレーヌ邸到着前","No.20 Arriving in Neustadt ~ No.20 Before entering Ilene's house","-","-","ノイシュタットのイレーヌ邸の近くにいる、 迷子の子  供に話しかけると発生。 子供のキレイな身なりから、  ルーティはお金持ちの子だと思い込み親切にするが、  実は服を借りているだけの貧乏な子供だった。 発生期  間が短いのでイレーヌ邸に行く直前にクリアしよう。","You can trigger this event by speaking to the lost child near Ilene's house in Neustadt. Due to the child's appearance, Rutee assumes the child is rich and helps to child in hopes of getting a reward. It turns out the child is only borrowing these clothes and is actually quite poor. The window for you to trigger this event is quite short, so make sure to view it before going into Ilene's house. ","残念ながらルーティの読みはハズレ。特にお礼をもらうこともなく終了する。","▲ Unfortunately Rutee's scheme didn't pay out and the mother left without even saying thanks.","There a kid in rich clothes that's lost and rutee is like lets find your mom ( so that she can get a reward) than a mom from the loweruarter comes and tell the kid he need to give back the rich clothes","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"024","妙剣の使い手","""Swatian"" User?","ノイシュタットの街(→P213)","Neustadt"," No.20 ノイシュタット到着~","No.20 Arriving in Neustadt","スタン称号「妙剣の使い手」","Stahn title [""Swatian"" User?]","ノイシュタットの噴水広場にいるお坊ちゃんに話し  かけると発生。 選択肢は「ソーディアンを知っている  のか!?」 を選ぶのが正解となる。 スタンが漏らした 「ソ  ーディアン」という言葉に敏感に反応したお坊ちゃん  だが、スタンはとっさの機転でごまかす。","Trigger this even by talking to the boy near the fountain in Neustadt. Upon selecting the choice ""You know about the Swordians?,"" Dymlos scolds Stahn for blurting out such sensitive information. Stahn attempts to use his wits to cover up his mistake, sharing instead about the mystic Swatian, used to swat flies.  ","入手した称号は「にせソ  ーディアン」 (→P352) を発  生させるために必要。","▲ The title obtained is a required for ""Fake Swordian"" [Side-Quest #138](projects/destiny-dc/stahn-guide?id=side-quest-138-fake-swordians)","Kid next to the fountain say stahn as a special sword, stahn is like you know what a swordian is, then  dymlos is liek shut up, so he's like no i didnt say swordian i said ""swatian"" to swat flies. the kids tell stahn to fuck off","","","",""
